Partner Name,Year,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand)
Australia,1988,10508173.98,14350888.96,100.0,100,1.0,,,11.83,5.99,23589.0,65.9,20.96,7.5,5.63,3000.0,0.0,8328077.34,20967010.84,635841.21,13.6,7.16,67147.0,67.68,19.87,18.49,16.97,3000.0,0.0,9668343.93,21602852.05,0.0
Austria,1988,22046961.12,14273975.93,100.0,100,,,,6.37,8.06,18840.0,46.62,44.27,4.26,4.85,2029.66,0.0,470170.98,1953882.94,122643.65,14.54,12.88,58010.0,70.21,16.68,21.4,18.96,3000.0,0.0,1024973.43,2076526.6,0.0
Burundi,1988,37299.67,73592.16,100.0,100,,,,0.54,0.54,379.0,5.54,88.92,5.28,0.26,50.0,0.0,2036.0,110903.75,49297.7,13.44,9.34,2788.0,66.93,20.88,51.98,37.73,471.64,0.0,113983.75,160201.45,0.0
Benin,1988,66486.37,17352.43,100.0,100,,,,12.71,22.39,548.0,18.61,78.65,2.19,0.55,110.0,0.0,36542.71,42016.18,18907.96,15.69,9.34,5974.0,70.57,18.6,66.97,51.09,3000.0,0.0,53882.3,60924.14,0.0
Burkina Faso,1988,42212.93,24547.18,100.0,100,,,,0.52,2.45,455.0,4.62,92.09,2.64,0.66,30.0,0.0,33259.39,35036.66,68487.55,12.94,11.13,3406.0,66.79,23.25,48.79,25.71,1296.17,0.0,46073.2,103524.21,0.0
Bangladesh,1988,801086.8,221256.38,100.0,100,,,,3.6,6.15,1606.0,22.98,72.6,3.3,1.12,50.0,0.0,30912.63,567794.59,52546.98,17.92,16.48,9920.0,70.4,16.48,45.64,35.37,2029.66,0.0,267833.77,620341.57,0.0
Bulgaria,1988,1278230.45,376577.93,100.0,100,,,,7.7,7.79,4469.0,65.23,12.71,18.84,3.22,472.46,0.0,226013.38,564133.06,42697.99,15.38,21.17,30131.0,67.57,18.79,48.6,43.34,3000.0,0.0,416226.97,606831.05,0.0
Bahrain,1988,335294.13,458407.8,100.0,100,,,,1.47,5.6,1466.0,12.48,80.9,5.73,0.89,50.0,0.0,383951.19,469363.02,97832.67,14.83,9.27,10439.0,69.81,19.29,44.95,32.67,3000.0,0.0,491450.67,567195.68,0.0
"Bahamas, The",1988,356568.82,58504.92,100.0,100,,,,1.62,2.07,572.0,16.26,66.78,14.34,2.62,45.0,0.0,22167.78,77210.0,267714.9,15.12,9.12,4526.0,69.24,18.34,59.62,38.64,3000.0,0.0,38314.87,344924.9,0.0
Belgium-Luxembourg,1988,30638909.79,24915272.75,100.0,100,,,,13.08,16.62,13227.0,69.24,21.03,2.74,6.99,3000.0,0.0,277644.12,3690749.7,155174.84,14.12,17.62,58440.0,68.72,18.6,30.31,25.71,3000.0,0.0,1529243.44,3845924.55,0.0
Belize,1988,22329.16,1932.65,100.0,100,,,,3.84,8.2,220.0,20.91,70.45,8.18,0.45,50.0,0.0,23635.0,41620.37,4303.38,16.14,40.28,2895.0,80.28,11.61,62.27,44.55,160.58,0.0,28131.3,45923.75,0.0
Bermuda,1988,360059.94,620103.8,100.0,100,,,,3.55,0.94,357.0,17.37,78.15,3.92,0.56,90.02,0.0,827.18,2845.97,43735.83,16.14,7.05,3247.0,66.37,20.94,58.26,57.14,1296.17,0.0,28919.69,46581.8,0.0
Bolivia,1988,70153.06,33646.21,100.0,100,,,,1.84,0.73,436.0,9.17,87.61,2.52,0.69,50.0,0.0,1361.0,54180.76,110767.28,15.76,5.99,4233.0,70.35,18.83,56.88,48.17,509.65,0.0,14338.21,164948.04,0.0
Brazil,1988,3157960.26,7733502.96,100.0,100,,,,5.45,7.24,15002.0,34.98,55.7,5.65,3.67,3000.0,0.0,7100848.35,14941211.35,1326680.06,14.14,11.32,57220.0,68.39,18.91,25.33,23.13,3000.0,0.0,9520303.36,16267891.41,0.0
Barbados,1988,46120.11,4773.91,100.0,100,,,,1.67,1.6,535.0,19.81,73.27,6.92,0.0,30.0,0.0,29385.0,33413.59,7554.94,12.72,37.16,4157.0,69.21,20.35,45.42,35.7,199.1,0.0,33370.32,40968.53,0.0
Brunei,1988,198481.32,1523443.35,100.0,100,,,,7.1,1.51,937.0,24.01,68.3,6.19,1.49,132.01,0.0,458816.65,461928.0,1086184.91,14.78,9.86,7597.0,74.45,17.22,39.7,27.85,3000.0,0.0,464898.05,1548112.91,0.0
Bhutan,1988,6607.45,63.31,100.0,100,,,,5.27,4.9,97.0,20.62,79.38,0.0,0.0,50.0,0.0,0.0,118.42,288.0,16.25,13.21,826.0,65.13,19.25,88.66,44.33,199.1,0.0,221.69,406.42,0.0
Bunkers,1988,625205.47,154879.0,100.0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,1988,20345.41,8310.05,100.0,100,,,,2.58,0.45,403.0,5.46,89.58,2.98,1.99,1296.17,0.0,4797.12,8016.26,92494.89,12.76,12.7,4997.0,74.9,17.75,64.76,26.3,1296.17,0.0,44965.25,100511.15,0.0
Canada,1988,12211696.04,13379048.71,100.0,100,,,,8.94,5.04,24091.0,66.82,20.24,9.27,3.67,3000.0,0.0,6312575.69,19930502.31,1368595.39,14.32,7.61,69969.0,67.95,19.62,18.9,17.2,3000.0,0.0,7746249.47,21299097.7,0.0
Cocos (Keeling) Islands,1988,2728.03,295.1,100.0,100,,,,25.0,24.51,5.0,100.0,0.0,0.0,0.0,50.0,10.0,0.0,111.37,0.0,10.19,8.47,50.0,68.0,20.0,80.0,40.0,50.0,0.0,99.11,111.37,0.0
Switzerland,1988,23739550.61,17088873.08,100.0,100,1.0,,,8.86,7.48,37320.0,55.62,31.45,9.2,3.72,3000.0,0.0,9544791.28,37032968.67,1658990.14,13.97,11.44,82928.0,67.42,19.84,14.89,13.43,3000.0,0.0,12327027.69,38691958.81,0.0
Chile,1988,987036.13,2117305.65,100.0,100,,,,3.65,3.74,3453.0,33.74,57.37,6.63,2.26,100.0,0.0,148069.96,3631311.09,598957.95,14.42,6.62,20444.0,68.19,19.36,36.23,37.5,3000.0,0.0,578745.31,4230269.04,0.0
China,1988,13575267.56,14251274.37,100.0,100,,,,8.72,11.6,26422.0,40.45,48.96,4.57,6.03,3000.0,0.0,18515824.72,69000845.88,2760278.01,13.94,18.48,78322.0,67.57,19.67,19.62,18.19,3000.0,0.0,40955646.97,71761123.89,0.0
Cote d'Ivoire,1988,208122.47,463490.14,100.0,100,,,,3.25,5.39,2048.0,20.9,70.02,8.54,0.54,256.64,0.0,561832.79,1539879.69,422782.25,14.0,12.72,16454.0,68.47,19.09,54.93,45.02,1296.17,0.0,1025454.19,1962661.93,0.0
Cameroon,1988,167900.07,209905.15,100.0,100,,,,1.97,3.23,1535.0,21.37,73.88,4.76,0.0,100.0,0.0,267498.68,1222126.2,131286.84,13.39,7.92,12549.0,72.13,18.47,45.41,31.47,3000.0,0.0,937654.91,1353413.04,0.0
"Congo, Rep.",1988,39611.91,123629.56,100.0,100,,,,3.25,2.65,803.0,10.71,88.67,0.62,0.0,50.0,0.0,8632.0,346401.48,168287.03,12.18,7.96,8137.0,72.24,19.53,54.3,29.14,2029.66,0.0,325426.04,514688.51,0.0
Cook Islands,1988,5870.56,1144.8,100.0,100,,,,7.47,11.37,24.0,62.5,37.5,0.0,0.0,40.0,0.0,0.0,643.17,69.69,8.59,12.8,124.0,58.87,35.48,4.17,25.0,100.0,0.0,29.57,712.86,0.0
Colombia,1988,1011212.56,1210433.39,100.0,100,,,,2.37,3.28,1853.0,12.36,83.81,2.48,1.35,1014.83,0.0,1194813.09,1654724.07,396453.91,16.61,12.64,13776.0,68.57,17.18,56.77,49.16,2029.66,0.0,1379000.37,2051177.98,0.0
Comoros,1988,2432.41,2617.6,100.0,100,,,,2.25,2.65,198.0,11.62,79.29,7.07,2.02,324.05,0.0,7182.72,12193.23,2655.9,13.03,6.42,2450.0,79.8,13.55,56.06,26.26,324.05,0.0,9172.55,14849.12,0.0
Cape Verde,1988,49399.6,2047.62,100.0,100,,,,0.69,5.82,336.0,5.36,93.75,0.89,0.0,22.0,0.0,1.0,2035.0,2095.0,13.42,24.99,2168.0,63.28,23.11,58.93,28.87,2029.66,0.0,799.0,4130.0,0.0
Costa Rica,1988,148547.41,270817.84,100.0,100,,,,3.19,8.41,1167.0,31.02,61.87,5.31,1.8,256.64,0.0,245754.92,505392.72,24175.69,14.94,22.8,7498.0,67.52,19.46,40.62,43.02,2029.66,0.0,273299.13,529568.41,0.0
Czechoslovakia,1988,1959311.8,1873828.95,100.0,100,,,,8.35,9.02,9757.0,69.15,11.95,14.14,4.76,3000.0,0.0,598099.63,2640403.75,290328.9,14.97,14.93,53601.0,68.97,17.92,38.77,33.27,3000.0,0.0,1693390.71,2930732.65,0.0
Cuba,1988,266126.43,239272.84,100.0,100,,,,3.07,18.22,1107.0,26.2,63.96,7.68,2.17,176.82,0.0,161381.55,430482.22,79731.44,15.0,23.36,7128.0,63.83,22.18,52.39,37.67,3000.0,0.0,368550.23,510213.66,0.0
Christmas Island,1988,1221.44,2838.4,100.0,100,,,,14.8,2.3,6.0,100.0,0.0,0.0,0.0,30.0,2.0,0.0,1085.95,0.0,8.2,3.12,116.0,72.41,20.69,66.67,66.67,55.0,0.0,8.61,1085.95,0.0
Cayman Islands,1988,22226.43,10138.1,100.0,100,,,,2.88,1.78,218.0,43.12,50.46,5.05,1.38,30.0,0.0,2.0,6382.21,21535.39,13.46,8.43,1322.0,66.49,19.52,52.29,32.57,110.0,0.0,2297.22,27917.6,0.0
Cyprus,1988,734083.6,100847.51,100.0,100,,,,2.02,5.8,3705.0,17.09,73.2,7.8,1.92,2547.12,0.0,103329.63,276285.32,314520.28,16.96,15.05,25966.0,68.3,16.43,57.17,49.91,3000.0,0.0,359333.48,590805.61,0.0
German Democratic Republic,1988,1457269.16,2119791.68,100.0,100,,,,7.12,6.05,9921.0,73.63,11.5,10.42,4.45,368.43,0.0,309368.04,2047767.32,233955.67,14.39,16.24,51895.0,69.45,18.54,33.23,29.6,3000.0,0.0,1174756.4,2281722.99,0.0
Germany,1988,34936844.6,41497301.75,100.0,100,1.0,,,10.87,11.86,51749.0,53.34,37.01,4.69,4.95,3000.0,0.0,15641299.14,39024236.59,421656.85,14.06,12.77,83111.0,67.19,20.11,10.72,9.67,3000.0,0.0,19004261.1,39445893.44,0.0
Djibouti,1988,41164.72,1244.99,100.0,100,,,,0.04,0.01,369.0,1.36,97.29,1.36,0.0,8.0,0.0,394.0,453.0,13710.48,14.67,6.79,2911.0,66.75,21.16,57.18,38.21,1296.17,0.0,10940.52,14163.48,0.0
Dominica,1988,8021.47,5434.34,100.0,100,,,,2.71,9.02,373.0,24.66,59.79,11.8,3.75,43.96,0.0,316.09,69503.89,2587.23,13.92,36.0,2669.0,63.09,20.23,73.73,45.58,471.64,0.0,1377.69,72091.13,0.0
Denmark,1988,9283015.12,7915819.08,100.0,100,,,,4.15,6.59,19931.0,36.14,57.58,1.84,4.44,768.22,0.0,1597274.1,6454876.73,490217.24,14.14,12.59,74869.0,67.55,19.02,26.34,24.13,3000.0,0.0,3906442.71,6945093.97,0.0
Dominican Republic,1988,205854.67,108802.45,100.0,100,,,,4.05,2.7,638.0,31.03,52.98,15.52,0.47,100.0,0.0,19128.04,205498.82,10356.95,17.85,11.05,5238.0,66.86,17.49,69.75,58.78,3000.0,0.0,41343.94,215855.77,0.0
Algeria,1988,1263737.48,1561068.4,100.0,100,,,,1.02,4.18,1807.0,13.61,79.36,5.92,1.11,60.0,0.0,1209639.51,4988612.08,214460.53,14.14,7.4,12583.0,67.84,21.95,42.28,28.83,3000.0,0.0,3858192.66,5203072.61,0.0
Ecuador,1988,294776.03,514940.63,100.0,100,,,,0.98,6.45,1569.0,12.43,82.28,5.16,0.13,41.0,0.0,10386.99,614310.43,127102.75,14.62,17.62,11480.0,71.13,17.89,44.55,35.76,509.65,0.0,331018.23,741413.18,0.0
"Egypt, Arab Rep.",1988,2382151.01,793452.32,100.0,100,,,,2.42,4.41,3449.0,18.18,73.82,6.32,1.68,80.8,0.0,1693913.96,2143776.34,194783.45,14.94,7.51,23055.0,66.78,19.12,49.75,44.53,3000.0,0.0,2202537.89,2338559.79,0.0
Western Sahara,1988,0.0,172.74,,100,,,,4.72,9.78,13.0,53.85,38.46,7.69,0.0,40.0,0.0,164.9,169.9,1.0,14.49,14.34,98.0,69.39,19.39,53.85,30.77,50.0,0.0,165.9,170.9,0.0
Spain,1988,15721472.66,9751494.1,100.0,100,,,,7.88,9.99,14797.0,46.88,45.15,2.24,5.72,2029.66,0.0,369914.71,2167676.45,188896.36,14.67,13.67,56487.0,69.58,17.18,25.79,24.74,3000.0,0.0,1335025.99,2356572.81,0.0
Ethiopia(includes Eritrea),1988,244950.39,151783.81,100.0,100,,,,4.93,1.21,89.0,41.57,48.31,2.25,7.87,60.0,0.0,45881.15,47978.04,18613.81,13.52,5.9,966.0,63.35,25.78,70.79,47.19,199.1,0.0,47751.85,66591.86,0.0
Finland,1988,5613044.07,4235516.26,100.0,100,1.0,,,2.7,4.62,11400.0,27.2,69.69,1.31,1.8,3000.0,0.0,413905.38,3118047.84,1753420.98,14.32,12.98,60828.0,69.38,17.7,36.05,32.86,3000.0,0.0,2446932.59,4871468.82,0.0
Fiji,1988,162345.44,75888.55,100.0,100,,,,3.24,65.33,457.0,23.19,67.83,6.78,2.19,160.58,0.0,135953.25,162964.46,8935.25,13.33,41.14,4128.0,74.66,16.72,48.14,29.76,451.15,0.0,160311.87,171899.71,0.0
Falkland Island,1988,232.62,1865.65,100.0,100,,,,1.62,8.26,271.0,38.38,59.41,2.21,0.0,22.0,0.0,6738.32,28036.2,1045.0,11.22,11.51,1915.0,70.23,19.95,31.73,37.64,100.0,0.0,7288.32,29081.2,0.0
France,1988,55841763.1,47463341.84,100.0,100,,,,8.88,10.87,31209.0,51.37,40.9,2.47,5.25,3000.0,0.0,3342224.79,10547522.26,1756346.52,14.1,13.86,78295.0,67.71,19.13,17.32,15.69,3000.0,0.0,6638363.06,12303868.78,0.0
Faeroe Islands,1988,18914.19,49907.74,100.0,100,,,,6.95,6.91,1465.0,69.9,19.11,7.58,3.41,489.83,0.0,14668.87,286693.91,27818.01,13.78,11.15,10309.0,68.42,19.63,42.73,41.37,1296.17,0.0,18875.82,314511.92,0.0
Gabon,1988,108455.14,83396.34,100.0,100,,,,0.54,1.82,991.0,12.61,84.06,3.33,0.0,22.0,0.0,129617.16,809438.57,563289.04,11.96,4.88,8771.0,74.77,18.15,41.27,21.39,164.76,0.0,1067520.04,1372727.6,0.0
United Kingdom,1988,53699439.21,33956689.42,100.0,100,,,,10.5,10.15,37810.0,52.06,40.3,2.16,5.48,3000.0,0.0,3424264.95,16832938.85,591029.86,14.06,12.83,81845.0,67.49,19.86,14.4,12.97,3000.0,0.0,7982645.91,17423968.71,0.0
Ghana,1988,189585.06,275474.2,100.0,100,,,,3.56,5.93,1089.0,28.83,65.38,5.14,0.64,72.41,0.0,6887.34,509193.68,171972.35,12.48,9.27,9704.0,71.77,18.76,49.77,34.62,1296.17,0.0,342477.53,681166.02,0.0
Gibraltar,1988,33401.03,1419.83,100.0,100,,,,0.85,0.29,1174.0,8.52,83.39,7.67,0.43,55.0,0.0,567.0,2069.13,29155.23,13.11,9.38,10003.0,71.1,18.49,46.68,41.99,1296.17,0.0,5923.66,31224.35,0.0
Guinea,1988,40558.79,61204.53,100.0,100,,,,0.63,0.53,663.0,8.75,87.48,3.77,0.0,30.0,0.0,2187.95,65573.82,249957.37,12.31,5.2,6032.0,74.55,18.9,30.62,28.96,1296.17,0.0,72862.72,315531.19,0.0
Guadeloupe,1988,71056.56,17210.38,100.0,100,,,,6.3,18.15,1235.0,69.31,16.76,11.66,2.27,117.0,0.0,49171.82,156232.91,1514.34,14.57,39.52,9537.0,69.67,18.56,51.66,39.27,509.65,0.0,54889.73,157747.25,0.0
"Gambia, The",1988,35563.07,52952.02,100.0,100,,,,2.4,1.47,436.0,13.3,79.13,6.88,0.69,50.0,0.0,1019.0,50204.23,45370.06,12.84,15.29,3677.0,71.09,19.58,45.41,33.26,256.64,0.0,13502.58,95574.29,0.0
Guinea-Bissau,1988,26694.47,5241.14,100.0,100,,,,0.43,0.08,183.0,8.74,87.43,3.83,0.0,20.0,0.0,1421.0,1610.42,6214.94,11.73,10.24,2546.0,78.0,14.65,69.95,32.24,100.0,0.0,2386.0,7825.36,0.0
Equatorial Guinea,1988,3015.58,6097.92,100.0,100,,,,1.84,0.71,179.0,3.35,91.62,3.91,1.12,35.0,0.0,338.0,10968.1,39210.71,13.97,11.0,2665.0,79.25,12.68,77.09,43.02,133.8,0.0,14387.9,50178.82,0.0
Greece,1988,4193254.37,2194408.94,100.0,100,1.0,,,6.74,7.53,3297.0,33.61,56.23,2.61,7.55,471.64,0.0,64830.0,353499.61,282605.91,18.11,13.0,20950.0,68.78,15.55,53.32,46.25,3000.0,0.0,294452.74,636105.52,0.0
Grenada,1988,6672.16,7125.28,100.0,100,,,,1.24,3.73,317.0,17.03,74.76,8.2,0.0,22.0,0.0,9897.42,19874.88,2767.31,13.56,18.21,2780.0,70.94,17.27,62.46,41.01,2029.66,0.0,10512.42,22642.19,0.0
Greenland,1988,13120.44,188724.56,100.0,100,,,,1.87,5.38,943.0,25.98,70.1,3.5,0.42,30.24,0.0,260.09,474112.99,65729.58,12.38,10.87,6395.0,66.6,22.89,43.27,28.0,2029.66,0.0,2664.92,539842.57,0.0
Guatemala,1988,194878.64,167275.86,100.0,100,,,,3.51,3.49,988.0,28.14,60.02,10.32,1.52,256.64,0.0,243595.46,296956.03,11947.67,19.36,11.29,7581.0,70.07,14.96,66.4,48.48,3000.0,0.0,264994.34,308903.69,0.0
French Guiana,1988,65146.45,6893.62,100.0,100,,,,5.08,9.01,817.0,73.44,18.48,7.47,0.61,27.0,0.0,2066.0,33152.7,5414.57,12.91,10.64,7487.0,73.91,18.03,45.78,28.03,256.64,0.0,5762.21,38567.27,0.0
Guyana,1988,17461.9,22206.79,100.0,100,,,,1.37,2.03,296.0,24.32,58.11,16.55,1.01,22.0,0.0,94945.0,128915.44,12147.22,15.66,29.1,3433.0,76.0,15.35,61.15,39.19,2029.66,0.0,101318.88,141062.66,0.0
"Hong Kong, China",1988,20401526.34,7136046.16,100.0,100,,,,14.3,13.6,31499.0,55.11,34.29,4.55,6.06,3000.0,0.0,1782062.06,12652882.3,127202.7,14.21,17.52,71058.0,68.43,18.63,15.22,13.97,3000.0,0.0,6756873.27,12780085.0,0.0
Honduras,1988,131765.32,203647.34,100.0,100,,,,5.67,7.84,691.0,40.81,53.4,5.79,0.0,60.0,0.0,123773.55,312456.0,26431.45,14.28,21.84,5714.0,72.93,18.06,38.93,35.6,471.64,0.0,141647.29,338887.45,0.0
Haiti,1988,89961.09,13053.64,100.0,100,,,,0.86,0.15,496.0,6.05,87.9,5.85,0.2,50.0,0.0,1190.9,2276.37,50691.25,16.7,8.3,3888.0,67.85,19.65,58.87,39.11,3000.0,0.0,44565.4,52967.62,0.0
Hungary,1988,2027631.35,1868850.95,100.0,100,,,,7.48,8.84,9664.0,63.49,15.69,16.38,4.44,184.22,0.0,1099891.82,2769927.95,151689.97,15.09,20.55,54453.0,68.3,18.25,40.5,35.34,3000.0,0.0,1850598.9,2921617.92,0.0
Indonesia,1988,4872545.96,11593444.45,100.0,100,,,,11.67,6.85,13617.0,52.14,38.51,2.62,6.73,3000.0,0.0,5002758.57,14381960.84,616816.57,15.57,10.19,50179.0,68.58,17.56,25.5,25.57,3000.0,0.0,7312649.99,14998777.41,0.0
India,1988,5001444.07,3574908.1,100.0,100,1.0,,,8.46,8.4,15261.0,42.15,50.1,2.88,4.87,1014.83,0.0,807408.42,7290609.78,286724.58,14.36,16.73,58817.0,68.64,18.71,25.34,23.42,3000.0,0.0,2783787.36,7577334.36,0.0
British Indian Ocean Ter.,1988,143.38,18.0,100.0,100,,,,3.6,1.89,138.0,21.01,68.12,10.87,0.0,30.0,0.0,80.0,445.0,676.0,17.13,14.84,1122.0,68.36,14.53,78.26,60.87,199.1,0.0,618.0,1121.0,0.0
Ireland,1988,2346224.03,3309783.94,100.0,100,,,,5.7,7.8,6129.0,39.91,54.58,1.47,4.05,368.43,0.0,384329.14,1385344.6,153582.15,15.43,11.01,31802.0,70.04,17.84,33.92,28.98,3000.0,0.0,778030.42,1538926.75,0.0
"Iran, Islamic Rep.",1988,3019248.16,1980910.51,100.0,100,,,,3.38,3.15,1865.0,25.15,66.22,7.29,1.34,70.0,0.0,4515975.69,5133024.34,215063.94,15.05,5.62,12836.0,65.2,20.54,53.94,44.24,3000.0,0.0,5164105.2,5348088.27,0.0
Iraq,1988,1755376.49,1356947.41,100.0,100,,,,0.78,0.36,1148.0,11.59,81.88,5.75,0.78,35.0,0.0,4000540.5,4005230.66,103232.05,11.31,4.55,8035.0,70.09,20.98,36.32,26.13,451.15,0.0,4051937.44,4108462.71,0.0
Iceland,1988,299511.1,524559.92,100.0,100,1.0,,,5.43,7.25,3353.0,52.7,32.21,12.65,2.45,117.0,0.0,55660.92,1043979.88,29182.57,15.35,11.52,21524.0,68.26,18.79,41.16,41.93,3000.0,0.0,226871.42,1073162.46,0.0
Israel,1988,2701527.57,1989017.99,100.0,100,,,,7.75,8.3,11064.0,60.99,20.06,15.86,3.09,509.65,0.0,1492274.26,4794773.72,188682.48,14.91,17.75,51330.0,68.61,18.29,31.03,29.75,3000.0,0.0,1890013.08,4983456.19,0.0
Italy,1988,40264705.57,38204997.12,100.0,100,,,,9.24,13.33,29418.0,53.03,38.98,2.25,5.74,3000.0,0.0,1660003.32,9976704.8,132554.09,14.33,16.95,71832.0,68.92,18.08,16.38,15.36,3000.0,0.0,5334346.93,10109258.89,0.0
Jamaica,1988,91612.6,59094.2,100.0,100,,,,3.82,4.39,1021.0,31.24,55.73,11.95,1.08,61.04,0.0,103142.89,284155.13,6288.04,16.36,22.18,6575.0,65.4,17.95,59.26,47.99,1296.17,0.0,250713.45,290443.17,0.0
Jordan,1988,467373.88,221622.41,100.0,100,,,,1.47,2.34,1350.0,13.93,77.26,8.3,0.52,50.0,0.0,23270.72,174809.37,66743.47,12.78,6.86,9990.0,66.94,22.05,46.3,35.19,1296.17,0.0,37042.46,241552.84,0.0
Japan,1988,31950739.73,52129426.57,100.0,100,1.0,,,13.27,13.74,46459.0,69.14,17.11,8.27,5.47,3000.0,0.0,48334803.11,108307268.54,68912.47,13.8,13.2,82635.0,67.69,19.81,11.65,10.58,3000.0,0.0,50446301.98,108376181.01,0.0
Kenya,1988,508804.54,231878.85,100.0,100,,,,3.19,7.91,1986.0,26.44,66.97,5.29,1.31,199.1,0.0,355151.15,634978.36,65884.53,13.53,13.84,12414.0,67.22,21.95,33.28,34.39,1296.17,0.0,388362.44,700862.89,0.0
Cambodia,1988,5843.49,1484.14,100.0,100,,,,1.77,1.97,161.0,38.51,60.87,0.0,0.62,30.0,0.0,0.0,3327.6,6959.25,14.53,8.47,2601.0,83.08,11.92,40.99,39.75,324.05,0.0,2389.33,10286.85,0.0
Kiribati,1988,9938.01,3748.53,100.0,100,,,,3.51,1.64,104.0,19.23,80.77,0.0,0.0,50.0,0.0,0.0,3762.8,5426.99,15.01,8.06,1096.0,64.96,19.07,113.46,54.81,100.0,0.0,3967.16,9189.79,0.0
