longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,rooms_per_household,bedrooms_per_room,population_per_household,income_category,age_category
-122.3,37.81,52.0,1010.0,209.0,604.0,187.0,1.1667,78400.0,NEAR BAY,5.401069518716578,0.20693069306930692,3.229946524064171,Very Low,Very Old
-122.3,37.81,48.0,1455.0,354.0,788.0,332.0,0.8056,84400.0,NEAR BAY,4.382530120481928,0.24329896907216494,2.3734939759036147,Very Low,Very Old
-122.29,37.8,52.0,1027.0,244.0,492.0,147.0,2.6094,81300.0,NEAR BAY,6.98639455782313,0.23758519961051608,3.3469387755102042,Low,Very Old
-122.3,37.81,52.0,572.0,109.0,274.0,82.0,1.8516,85000.0,NEAR BAY,6.975609756097561,0.19055944055944055,3.341463414634146,Low,Very Old
-122.29,37.81,46.0,2801.0,644.0,1823.0,611.0,0.9802,129200.0,NEAR BAY,4.584288052373159,0.22991788646911818,2.983633387888707,Very Low,Very Old
-122.29,37.81,26.0,768.0,152.0,392.0,127.0,1.7719,82500.0,NEAR BAY,6.047244094488189,0.19791666666666666,3.0866141732283463,Low,Moderately Old
-122.29,37.81,46.0,935.0,297.0,582.0,277.0,0.7286,95200.0,NEAR BAY,3.375451263537906,0.3176470588235294,2.101083032490975,Very Low,Very Old
-122.29,37.81,49.0,844.0,204.0,560.0,152.0,1.75,75000.0,NEAR BAY,5.552631578947368,0.24170616113744076,3.6842105263157894,Low,Very Old
-122.29,37.81,46.0,12.0,4.0,18.0,7.0,0.4999,67500.0,NEAR BAY,1.7142857142857142,0.3333333333333333,2.5714285714285716,Very Low,Very Old
-122.29,37.81,20.0,835.0,161.0,290.0,133.0,2.483,137500.0,NEAR BAY,6.2781954887218046,0.19281437125748502,2.180451127819549,Low,Moderately Old
-122.28,37.81,17.0,1237.0,462.0,762.0,439.0,0.9241,177500.0,NEAR BAY,2.8177676537585423,0.3734842360549717,1.7357630979498861,Very Low,New
-122.28,37.81,36.0,2914.0,562.0,1236.0,509.0,2.4464,102100.0,NEAR BAY,5.724950884086444,0.1928620452985587,2.4282907662082516,Low,Old
-122.28,37.81,19.0,1207.0,243.0,721.0,207.0,1.1111,108300.0,NEAR BAY,5.830917874396135,0.20132560066280034,3.4830917874396135,Very Low,Moderately Old
-122.29,37.81,23.0,1745.0,374.0,1054.0,325.0,0.8026,112500.0,NEAR BAY,5.369230769230769,0.21432664756446992,3.243076923076923,Very Low,Moderately Old
-122.28,37.8,38.0,684.0,176.0,344.0,155.0,2.0114,131300.0,NEAR BAY,4.412903225806452,0.2573099415204678,2.2193548387096773,Low,Very Old
-122.28,37.81,17.0,924.0,289.0,609.0,289.0,1.5,162500.0,NEAR BAY,3.1972318339100347,0.31277056277056275,2.1072664359861593,Very Low,New
-122.27,37.81,52.0,210.0,56.0,183.0,56.0,1.1667,112500.0,NEAR BAY,3.75,0.26666666666666666,3.267857142857143,Very Low,Very Old
-122.28,37.81,52.0,340.0,97.0,200.0,87.0,1.5208,112500.0,NEAR BAY,3.9080459770114944,0.2852941176470588,2.2988505747126435,Low,Very Old
-122.28,37.81,52.0,386.0,164.0,346.0,155.0,0.8075,137500.0,NEAR BAY,2.490322580645161,0.42487046632124353,2.232258064516129,Very Low,Very Old
-122.28,37.81,35.0,948.0,184.0,467.0,169.0,1.8088,118800.0,NEAR BAY,5.609467455621302,0.1940928270042194,2.7633136094674557,Low,Old
-122.28,37.81,52.0,773.0,143.0,377.0,115.0,2.4083,98200.0,NEAR BAY,6.721739130434782,0.18499353169469598,3.2782608695652176,Low,Very Old
-122.27,37.81,40.0,880.0,451.0,582.0,380.0,0.977,118800.0,NEAR BAY,2.3157894736842106,0.5125,1.5315789473684212,Very Low,Very Old
-122.27,37.81,10.0,875.0,348.0,546.0,330.0,0.76,162500.0,NEAR BAY,2.6515151515151514,0.3977142857142857,1.6545454545454545,Very Low,New
-122.27,37.8,10.0,105.0,42.0,125.0,39.0,0.9722,137500.0,NEAR BAY,2.6923076923076925,0.4,3.2051282051282053,Very Low,New
-122.27,37.8,52.0,249.0,78.0,396.0,85.0,1.2434,500001.0,NEAR BAY,2.929411764705882,0.3132530120481928,4.658823529411765,Very Low,Very Old
-122.27,37.8,16.0,994.0,392.0,800.0,362.0,2.0938,162500.0,NEAR BAY,2.74585635359116,0.39436619718309857,2.2099447513812156,Low,New
-122.28,37.8,52.0,215.0,87.0,904.0,88.0,0.8668,137500.0,NEAR BAY,2.4431818181818183,0.4046511627906977,10.272727272727273,Very Low,Very Old
-122.28,37.8,52.0,96.0,31.0,191.0,34.0,0.75,162500.0,NEAR BAY,2.823529411764706,0.3229166666666667,5.617647058823529,Very Low,Very Old
-122.27,37.79,27.0,1055.0,347.0,718.0,302.0,2.6354,187500.0,NEAR BAY,3.493377483443709,0.3289099526066351,2.377483443708609,Low,Moderately Old
-122.27,37.8,39.0,1715.0,623.0,1327.0,467.0,1.8477,179200.0,NEAR BAY,3.6723768736616704,0.363265306122449,2.841541755888651,Low,Very Old
-122.26,37.8,36.0,5329.0,2477.0,3469.0,2323.0,2.0096,130000.0,NEAR BAY,2.294016358157555,0.4648151623193845,1.493327593628928,Low,Old
-122.26,37.82,31.0,4596.0,1331.0,2048.0,1180.0,2.8345,183800.0,NEAR BAY,3.8949152542372882,0.28959965187119235,1.735593220338983,Low,Old
-122.26,37.81,29.0,335.0,107.0,202.0,91.0,2.0062,125000.0,NEAR BAY,3.681318681318681,0.3194029850746269,2.21978021978022,Low,Moderately Old
-122.26,37.82,22.0,3682.0,1270.0,2024.0,1250.0,1.2185,170000.0,NEAR BAY,2.9456,0.3449212384573601,1.6192,Very Low,Moderately Old
-122.26,37.82,37.0,3633.0,1085.0,1838.0,980.0,2.6104,193100.0,NEAR BAY,3.7071428571428573,0.29865125240847784,1.8755102040816327,Low,Old
-122.25,37.81,29.0,4656.0,1414.0,2304.0,1250.0,2.4912,257800.0,NEAR BAY,3.7248,0.30369415807560135,1.8432,Low,Moderately Old
-122.25,37.81,28.0,5806.0,1603.0,2563.0,1497.0,3.2177,273400.0,NEAR BAY,3.8784235136940546,0.27609369617636925,1.7120908483633934,Medium,Moderately Old
-122.25,37.81,39.0,854.0,242.0,389.0,228.0,3.125,237500.0,NEAR BAY,3.745614035087719,0.28337236533957844,1.706140350877193,Medium,Very Old
-122.25,37.81,52.0,2155.0,701.0,895.0,613.0,2.5795,350000.0,NEAR BAY,3.5154975530179446,0.3252900232018561,1.4600326264274062,Low,Very Old
-122.26,37.81,34.0,5871.0,1914.0,2689.0,1789.0,2.8406,335700.0,NEAR BAY,3.281721632196758,0.3260091977516607,1.5030743432084963,Low,Old
-122.24,37.82,52.0,1509.0,225.0,674.0,244.0,4.9306,313400.0,NEAR BAY,6.184426229508197,0.14910536779324055,2.762295081967213,High,Very Old
-122.24,37.81,52.0,2026.0,482.0,709.0,456.0,3.2727,268500.0,NEAR BAY,4.442982456140351,0.23790720631786771,1.5548245614035088,Medium,Very Old
-122.25,37.81,52.0,1758.0,460.0,686.0,422.0,3.1691,259400.0,NEAR BAY,4.165876777251185,0.2616609783845279,1.6255924170616114,Medium,Very Old
-122.24,37.82,52.0,3481.0,751.0,1444.0,718.0,3.9,275700.0,NEAR BAY,4.848189415041783,0.21574260270037346,2.011142061281337,Medium,Very Old
-122.25,37.82,28.0,3337.0,855.0,1520.0,802.0,3.9063,225000.0,NEAR BAY,4.160847880299252,0.25621816002397363,1.8952618453865338,Medium,Moderately Old
-122.25,37.82,52.0,1424.0,289.0,550.0,253.0,5.0917,262500.0,NEAR BAY,5.628458498023716,0.2029494382022472,2.1739130434782608,High,Very Old
-122.25,37.82,32.0,3809.0,1098.0,1806.0,1022.0,2.6429,218500.0,NEAR BAY,3.7270058708414875,0.28826463638750327,1.7671232876712328,Low,Old
-122.25,37.82,26.0,3959.0,1196.0,1749.0,1217.0,3.0233,255000.0,NEAR BAY,3.2530813475760065,0.30209648901237685,1.4371405094494658,Medium,Moderately Old
-122.25,37.83,52.0,2376.0,559.0,939.0,519.0,3.1484,224100.0,NEAR BAY,4.578034682080925,0.23526936026936027,1.8092485549132948,Medium,Very Old
-122.25,37.83,35.0,1613.0,428.0,675.0,422.0,3.4722,243100.0,NEAR BAY,3.822274881516588,0.2653440793552387,1.599526066350711,Medium,Old
-122.25,37.83,52.0,1279.0,287.0,534.0,291.0,3.1429,231600.0,NEAR BAY,4.3951890034364265,0.22439405785770133,1.8350515463917525,Medium,Very Old
-122.25,37.83,28.0,5022.0,1750.0,2558.0,1661.0,2.4234,218500.0,NEAR BAY,3.0234798314268514,0.34846674631620866,1.5400361228175798,Low,Moderately Old
-122.25,37.83,52.0,4190.0,1105.0,1786.0,1037.0,3.0897,234100.0,NEAR BAY,4.040501446480231,0.2637231503579952,1.7222757955641272,Medium,Very Old
-122.23,37.84,50.0,2515.0,399.0,970.0,373.0,5.8596,327600.0,NEAR BAY,6.742627345844504,0.15864811133200796,2.6005361930294906,High,Very Old
-122.23,37.84,47.0,3175.0,454.0,1098.0,485.0,5.2868,347600.0,NEAR BAY,6.546391752577319,0.14299212598425196,2.263917525773196,High,Very Old
-122.24,37.83,41.0,2576.0,406.0,794.0,376.0,5.956,366100.0,NEAR BAY,6.851063829787234,0.15760869565217392,2.1117021276595747,High,Very Old
-122.24,37.85,37.0,334.0,54.0,98.0,47.0,4.9643,335000.0,NEAR BAY,7.1063829787234045,0.16167664670658682,2.0851063829787235,High,Old
-122.23,37.85,52.0,2800.0,411.0,1061.0,403.0,6.3434,373600.0,NEAR BAY,6.947890818858561,0.1467857142857143,2.632754342431762,Very High,Very Old
-122.24,37.84,52.0,3529.0,574.0,1177.0,555.0,5.1773,389500.0,NEAR BAY,6.358558558558559,0.16265230943610087,2.120720720720721,High,Very Old
-122.24,37.85,52.0,2612.0,365.0,901.0,367.0,7.2354,391100.0,NEAR BAY,7.11716621253406,0.139739663093415,2.455040871934605,Very High,Very Old
-122.22,37.85,28.0,5287.0,1048.0,2031.0,956.0,5.457,337300.0,NEAR BAY,5.5303347280334725,0.1982220540949499,2.1244769874476988,High,Moderately Old
-122.22,37.84,50.0,2935.0,473.0,1031.0,479.0,7.5,295200.0,NEAR BAY,6.127348643006263,0.16115843270868824,2.152400835073069,Very High,Very Old
-122.21,37.84,44.0,3424.0,597.0,1358.0,597.0,6.0194,292300.0,NEAR BAY,5.735343383584589,0.174357476635514,2.274706867671692,Very High,Very Old
-122.21,37.83,40.0,4991.0,674.0,1616.0,654.0,7.5544,411500.0,NEAR BAY,7.631498470948012,0.13504307753957123,2.470948012232416,Very High,Very Old
-122.2,37.84,30.0,2211.0,346.0,844.0,343.0,6.0666,311500.0,NEAR BAY,6.446064139941691,0.15649027589326098,2.4606413994169096,Very High,Old
-122.21,37.84,34.0,3038.0,490.0,1140.0,496.0,7.0548,325900.0,NEAR BAY,6.125,0.16129032258064516,2.2983870967741935,Very High,Old
-122.19,37.84,18.0,1617.0,210.0,533.0,194.0,11.6017,392600.0,NEAR BAY,8.335051546391753,0.12987012987012986,2.747422680412371,Very High,New
-122.2,37.84,35.0,2865.0,460.0,1072.0,443.0,7.4882,319300.0,NEAR BAY,6.467268623024831,0.16055846422338568,2.419864559819413,Very High,Old
-122.21,37.83,34.0,5065.0,788.0,1627.0,766.0,6.8976,333300.0,NEAR BAY,6.6122715404699735,0.15557749259624876,2.1240208877284594,Very High,Old
-122.19,37.83,28.0,1326.0,184.0,463.0,190.0,8.2049,335200.0,NEAR BAY,6.978947368421053,0.138763197586727,2.4368421052631577,Very High,Moderately Old
-122.2,37.83,26.0,1589.0,223.0,542.0,211.0,8.401,351200.0,NEAR BAY,7.530805687203792,0.14033983637507866,2.5687203791469195,Very High,Moderately Old
-122.19,37.83,29.0,1791.0,271.0,661.0,269.0,6.8538,368900.0,NEAR BAY,6.657992565055762,0.15131211613623674,2.45724907063197,Very High,Moderately Old
-122.19,37.82,32.0,1835.0,264.0,635.0,263.0,8.317,365900.0,NEAR BAY,6.977186311787072,0.1438692098092643,2.414448669201521,Very High,Old
-122.2,37.82,37.0,1229.0,181.0,420.0,176.0,7.0175,366700.0,NEAR BAY,6.982954545454546,0.14727420667209112,2.3863636363636362,Very High,Old
-122.2,37.82,39.0,3770.0,534.0,1265.0,500.0,6.3302,362800.0,NEAR BAY,7.54,0.14164456233421752,2.53,Very High,Very Old
-122.18,37.81,30.0,292.0,38.0,126.0,52.0,6.3624,483300.0,NEAR BAY,5.615384615384615,0.13013698630136986,2.423076923076923,Very High,Old
-122.21,37.82,52.0,2375.0,333.0,813.0,350.0,7.0549,331400.0,NEAR BAY,6.785714285714286,0.14021052631578948,2.322857142857143,Very High,Very Old
-122.2,37.81,45.0,2964.0,436.0,1067.0,426.0,6.7851,323500.0,NEAR BAY,6.957746478873239,0.14709851551956815,2.504694835680751,Very High,Very Old
-122.21,37.8,50.0,2833.0,605.0,1260.0,552.0,2.8929,216700.0,NEAR BAY,5.132246376811594,0.21355453582774445,2.282608695652174,Low,Very Old
-122.21,37.8,38.0,2254.0,535.0,951.0,487.0,3.0812,233100.0,NEAR BAY,4.628336755646817,0.23735581188997337,1.9527720739219712,Medium,Very Old
-122.21,37.81,52.0,1389.0,212.0,510.0,224.0,5.2402,296400.0,NEAR BAY,6.200892857142857,0.15262778977681785,2.2767857142857144,High,Very Old
-122.22,37.81,52.0,1971.0,335.0,765.0,308.0,6.5217,273700.0,NEAR BAY,6.39935064935065,0.16996448503297817,2.4837662337662336,Very High,Very Old
-122.22,37.8,52.0,2183.0,465.0,1129.0,460.0,3.2632,227700.0,NEAR BAY,4.745652173913044,0.21300961978928082,2.4543478260869565,Medium,Very Old
-122.22,37.8,52.0,2286.0,464.0,1073.0,441.0,3.0298,199600.0,NEAR BAY,5.183673469387755,0.20297462817147857,2.433106575963719,Medium,Very Old
-122.22,37.8,52.0,2721.0,541.0,1185.0,515.0,4.5428,239800.0,NEAR BAY,5.283495145631068,0.1988239617787578,2.3009708737864076,High,Very Old
-122.22,37.81,52.0,2024.0,339.0,756.0,340.0,4.072,270100.0,NEAR BAY,5.952941176470588,0.1674901185770751,2.223529411764706,Medium,Very Old
-122.22,37.81,52.0,2944.0,536.0,1034.0,521.0,5.3509,302100.0,NEAR BAY,5.65067178502879,0.18206521739130435,1.9846449136276392,High,Very Old
-122.23,37.8,52.0,2033.0,486.0,787.0,459.0,3.1603,269500.0,NEAR BAY,4.429193899782135,0.23905558288243975,1.7145969498910676,Medium,Very Old
-122.23,37.81,52.0,1433.0,229.0,612.0,213.0,4.7708,314700.0,NEAR BAY,6.727699530516432,0.159804605722261,2.8732394366197185,High,Very Old
-122.22,37.81,52.0,2927.0,402.0,1021.0,380.0,8.1564,390100.0,NEAR BAY,7.7026315789473685,0.13734198838401093,2.6868421052631577,Very High,Very Old
-122.23,37.81,52.0,2315.0,292.0,861.0,258.0,8.8793,410300.0,NEAR BAY,8.972868217054264,0.126133909287257,3.3372093023255816,Very High,Very Old
-122.24,37.81,52.0,2485.0,313.0,953.0,327.0,6.8591,352400.0,NEAR BAY,7.599388379204893,0.12595573440643862,2.914373088685015,Very High,Very Old
-122.24,37.81,52.0,1490.0,238.0,634.0,256.0,6.0302,287300.0,NEAR BAY,5.8203125,0.1597315436241611,2.4765625,Very High,Very Old
-122.23,37.81,52.0,2814.0,365.0,878.0,352.0,7.508,348700.0,NEAR BAY,7.994318181818182,0.1297085998578536,2.4943181818181817,Very High,Very Old
-122.24,37.81,52.0,2093.0,550.0,918.0,483.0,2.7477,243800.0,NEAR BAY,4.333333333333333,0.26278069756330624,1.9006211180124224,Low,Very Old
-122.24,37.8,52.0,888.0,168.0,360.0,175.0,2.1944,211500.0,NEAR BAY,5.074285714285714,0.1891891891891892,2.057142857142857,Low,Very Old
-122.25,37.8,52.0,2087.0,510.0,1197.0,488.0,3.0149,218400.0,NEAR BAY,4.276639344262295,0.24436990896023,2.4528688524590163,Medium,Very Old
-122.24,37.81,52.0,2513.0,502.0,1048.0,518.0,3.675,269900.0,NEAR BAY,4.851351351351352,0.19976124154397135,2.023166023166023,Medium,Very Old
-122.25,37.81,46.0,3232.0,835.0,1373.0,747.0,3.225,218800.0,NEAR BAY,4.326639892904953,0.2583539603960396,1.8380187416331994,Medium,Very Old
-122.25,37.8,42.0,4120.0,1065.0,1715.0,1015.0,2.9345,225000.0,NEAR BAY,4.059113300492611,0.25849514563106796,1.6896551724137931,Low,Very Old
-122.25,37.8,43.0,2364.0,792.0,1359.0,722.0,2.1429,250000.0,NEAR BAY,3.2742382271468142,0.3350253807106599,1.8822714681440442,Low,Very Old
-122.25,37.8,41.0,1471.0,469.0,1062.0,413.0,1.6121,171400.0,NEAR BAY,3.5617433414043584,0.318830727396329,2.5714285714285716,Low,Very Old
-122.25,37.8,29.0,2468.0,864.0,1335.0,773.0,1.3929,193800.0,NEAR BAY,3.1927554980595083,0.3500810372771475,1.7270375161707632,Very Low,Moderately Old
