Question,Segment Type,Segment Description,Answer,Count,Percentage
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Notre Dame,Instagram,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Notre Dame,Facebook,1,1.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Notre Dame,Snapchat,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Notre Dame,Linkedin,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Nebraska Omaha,Instagram,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Nebraska Omaha,Facebook,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Nebraska Omaha,Snapchat,1,1.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Nebraska Omaha,Linkedin,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Delaware,Instagram,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Delaware,Facebook,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Delaware,Snapchat,1,1.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Delaware,Linkedin,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Florida Atlantic University,Instagram,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Florida Atlantic University,Facebook,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Florida Atlantic University,Snapchat,1,1.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Florida Atlantic University,Linkedin,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Wisconsin Stevens Point,Instagram,1,1.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Wisconsin Stevens Point,Facebook,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Wisconsin Stevens Point,Snapchat,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Wisconsin Stevens Point,Linkedin,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of California Riverside,Instagram,1,1.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of California Riverside,Facebook,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of California Riverside,Snapchat,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of California Riverside,Linkedin,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Louisiana State University,Instagram,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Louisiana State University,Facebook,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Louisiana State University,Snapchat,1,1.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Louisiana State University,Linkedin,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Temple University,Instagram,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Temple University,Facebook,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Temple University,Snapchat,2,1.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Temple University,Linkedin,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,High Point University,Instagram,1,1.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,High Point University,Facebook,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,High Point University,Snapchat,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,High Point University,Linkedin,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Dartmouth College,Instagram,1,1.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Dartmouth College,Facebook,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Dartmouth College,Snapchat,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Dartmouth College,Linkedin,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Duke University,Instagram,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Duke University,Facebook,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Duke University,Snapchat,1,1.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Duke University,Linkedin,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of California Irvine,Instagram,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of California Irvine,Facebook,2,1.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of California Irvine,Snapchat,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of California Irvine,Linkedin,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of British Columbia,Instagram,1,1.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of British Columbia,Facebook,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of British Columbia,Snapchat,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of British Columbia,Linkedin,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,San Marin High School,Instagram,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,San Marin High School,Facebook,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,San Marin High School,Snapchat,1,1.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,San Marin High School,Linkedin,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Ohio University,Instagram,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Ohio University,Facebook,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Ohio University,Snapchat,1,1.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Ohio University,Linkedin,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Wilfred Laurier University,Instagram,1,1.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Wilfred Laurier University,Facebook,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Wilfred Laurier University,Snapchat,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Wilfred Laurier University,Linkedin,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,UMass Amherst,Instagram,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,UMass Amherst,Facebook,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,UMass Amherst,Snapchat,2,1.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,UMass Amherst,Linkedin,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Southern California,Instagram,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Southern California,Facebook,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Southern California,Snapchat,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Southern California,Linkedin,1,1.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,"University of California, Los Angeles",Instagram,1,0.333
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,"University of California, Los Angeles",Facebook,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,"University of California, Los Angeles",Snapchat,2,0.667
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,"University of California, Los Angeles",Linkedin,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Iowa State University,Instagram,1,1.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Iowa State University,Facebook,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Iowa State University,Snapchat,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Iowa State University,Linkedin,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,"University of California, Davis",Instagram,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,"University of California, Davis",Facebook,2,1.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,"University of California, Davis",Snapchat,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,"University of California, Davis",Linkedin,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Missouri State University,Instagram,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Missouri State University,Facebook,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Missouri State University,Snapchat,1,1.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Missouri State University,Linkedin,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Rice University,Instagram,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Rice University,Facebook,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Rice University,Snapchat,1,1.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Rice University,Linkedin,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Tennessee,Instagram,1,1.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Tennessee,Facebook,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Tennessee,Snapchat,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Tennessee,Linkedin,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Claremont McKenna College,Instagram,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Claremont McKenna College,Facebook,1,1.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Claremont McKenna College,Snapchat,0,0.0
