index,merchantid,listedproducts,totalunitssold,meanunitssoldperproduct,rating,merchantratingscount,meanproductprices,meanretailprices,averagediscount,meandiscount,meanproductratingscount,totalurgencycount,urgencytextrate
112,5b2620ddd1c360688799eb51,1,20000,20000.0,4.184,6555.0,5.78,8.0,28.0,28.0,3975.0,,
113,58df45e5795cf052ae1c2142,1,20000,20000.0,4.196,8205.0,5.66,5.0,-13.0,-13.0,2927.0,,
114,57820e33ea637711873c1618,1,20000,20000.0,4.196,4570.0,3.65,4.0,9.0,9.0,4215.0,,
115,57edcd19252c15203b411d82,1,20000,20000.0,4.197,127966.0,5.71,84.0,94.0,94.0,4657.0,1.0,100.0
116,58183b4ea642e03dc54eda6e,1,20000,20000.0,4.205,48654.0,8.0,84.0,91.0,91.0,8960.0,1.0,100.0
117,542a670d4f66d92eba599455,1,20000,20000.0,4.209,32923.0,8.0,7.0,-14.0,-14.0,5781.0,,
118,584fd5cbd67ff04c93c70560,1,20000,20000.0,4.26,10269.0,5.0,5.0,0.0,0.0,7773.0,,
119,53208a086fa88c662a693514,1,20000,20000.0,4.288,44067.0,13.0,11.0,-18.0,-18.0,4378.0,1.0,100.0
120,58be502223167e61443f4d92,1,20000,20000.0,4.292,4448.0,11.0,10.0,-10.0,-10.0,3648.0,,
121,57875ba40cb30d38ba46f57d,1,20000,20000.0,4.31,58068.0,11.0,37.0,71.0,71.0,7596.0,1.0,100.0
122,5487c9b1b9b7e705069489fb,1,20000,20000.0,4.319,12304.0,5.88,9.0,35.0,35.0,6450.0,,
123,55e7ed3230a9764b0761fc82,1,20000,20000.0,4.321,68022.0,2.65,3.0,12.0,12.0,3443.0,,
124,54898f4c223ebf1cd713fdc2,1,20000,20000.0,4.33,295161.0,19.0,105.0,82.0,82.0,3787.0,,
125,57ff8c180fb8e31870c27d68,1,20000,20000.0,4.448,6719.0,8.0,75.0,90.0,90.0,5254.0,1.0,100.0
126,54b8872d40b37856baa55e38,1,20000,20000.0,4.462,100789.0,3.66,4.0,9.0,9.0,5882.0,,
127,5770ca6694fc5029d02c368a,2,20000,10000.0,3.901,12006.0,8.0,7.0,-14.0,-14.0,2069.0,1.0,50.0
128,5810c46f02b01e15f8a10e38,2,20000,10000.0,3.938,7314.0,5.93,5.5,-8.0,-8.5,787.0,1.0,50.0
129,561dc58d1f1ffb54d008b82f,2,20000,10000.0,4.144,110548.0,7.0,12.0,26.0,25.5,2911.0,,
130,591c4e7f1a071f13df7a63ff,2,20000,10000.0,4.168,2050.0,8.0,140.0,95.0,95.0,1910.0,1.0,50.0
131,53e442474497c57e900d7c64,2,20000,10000.0,4.194,3665.0,8.0,16.0,50.0,50.0,1589.0,1.0,50.0
132,54125ab34ad3ab158c0f72d9,2,20000,10000.0,4.236,190918.0,11.0,10.0,-10.0,-10.0,1717.0,1.0,50.0
133,570d017b1b4ca758e18e407d,2,20000,10000.0,4.244,10258.0,8.0,7.0,-14.0,-14.0,2438.0,,
134,5826f19f20a9402c37313979,2,20000,10000.0,4.307,5808.0,9.0,10.0,10.0,10.0,2587.0,1.0,50.0
135,582833faea77701b456c786a,8,17400,2175.0,3.868,10600.0,5.45,5.38,0.0,-0.12,326.0,2.0,25.0
136,59aaa4d39fbc514dc80328e3,4,17000,4250.0,3.899,17120.0,10.0,17.5,27.0,26.75,571.0,2.0,50.0
137,5b14d31d7e43f22f255ea98c,3,16000,5333.0,4.19,21012.0,3.83,38.0,89.0,89.33,1330.0,,
138,5406cabdc5c2464980dc6314,4,15100,3775.0,4.167,139788.0,7.25,23.5,47.0,46.5,772.0,1.0,25.0
139,5ae90e716691361cdb40fb0b,4,15100,3775.0,4.275,5781.0,8.25,22.5,50.0,49.5,683.0,1.0,25.0
140,5784d339e8aa8938977fefd0,3,15050,5017.0,4.146,21485.0,8.33,17.67,31.0,30.67,965.0,,
141,5c73a50ba0e25714e7f2bf90,2,15000,7500.0,3.938,4178.0,8.0,7.0,-14.0,-14.0,1074.0,,
142,597767f6171974220c25560a,2,15000,7500.0,4.03,16447.0,13.5,11.5,-17.0,-17.0,2312.0,,
143,5810bc6d61e38656e04e8ba2,2,15000,7500.0,4.055,7069.0,6.45,5.5,-17.0,-17.0,1255.0,,
144,583547f417dc6224cb464117,2,15000,7500.0,4.058,4213.0,7.5,7.0,-7.0,-7.0,765.0,,
145,569f632ed5f0840dda331a97,2,15000,7500.0,4.238,22765.0,10.0,14.5,25.0,24.5,1412.0,1.0,50.0
146,57baf75f63834218e305e4f4,5,13100,2620.0,3.886,32858.0,9.78,8.6,-12.0,-11.6,804.0,2.0,40.0
147,59c86bce67e9be6f9da5cb03,4,13000,3250.0,4.03,37956.0,6.1,43.0,65.0,64.5,717.0,2.0,50.0
148,556d0dc2c00cd721cce30dd1,3,12000,4000.0,3.996,25260.0,6.33,6.0,-5.0,-5.33,1431.0,1.0,33.0
149,584bcf7bfef409603f39b619,3,12000,4000.0,4.018,35358.0,5.96,6.33,8.0,7.67,619.0,1.0,33.0
150,566eaa533a698c6442549a74,4,12000,3000.0,3.947,5083.0,7.4,25.0,38.0,37.5,489.0,2.0,50.0
151,565c13ad389b9b2df29caa32,4,12000,3000.0,4.137,11505.0,6.11,11.5,33.0,33.0,312.0,1.0,25.0
152,5667f9745eec70268023940b,5,11200,2240.0,3.947,130598.0,10.18,13.0,4.0,4.2,437.0,2.0,40.0
153,58cfdefdacb37b556efdff7c,4,11100,2775.0,4.02,23832.0,8.75,9.5,7.0,7.0,320.0,2.0,50.0
154,5832e5632f5e534c23488f06,4,11100,2775.0,4.101,18029.0,11.5,17.75,20.0,19.5,521.0,1.0,25.0
155,55542b4b662da7114d591723,3,11000,3667.0,4.102,67171.0,8.0,8.0,1.0,1.0,989.0,3.0,100.0
156,5829d1ca96db262f04db2063,2,11000,5500.0,3.85,5934.0,8.0,60.5,70.0,69.5,410.0,1.0,50.0
157,5831ae002f5e534c0a485f06,2,11000,5500.0,3.865,4524.0,9.0,18.0,31.0,31.0,398.0,,
158,53994751796f684b7f2193b5,2,11000,5500.0,3.973,45524.0,6.93,22.5,41.0,40.5,334.0,1.0,50.0
159,57086fd7fa6bee434d0e5852,2,11000,5500.0,4.029,10501.0,6.0,50.0,81.0,80.5,1294.0,,
160,5954b765abea9167c0495382,2,11000,5500.0,4.163,6329.0,10.5,9.0,-16.0,-16.0,1489.0,,
161,58481b8e728de666bd5b925f,2,11000,5500.0,4.193,20387.0,15.0,125.0,88.0,88.0,1344.0,1.0,50.0
162,57c306d73a698c06f98ed450,4,10200,2550.0,4.114,9827.0,7.5,21.0,65.0,65.0,310.0,2.0,50.0
163,57fde031235aaa1926afe803,3,10100,3367.0,4.014,15348.0,6.67,27.33,51.0,51.33,306.0,1.0,33.0
164,55cc46e9b4f3404582b70222,2,10100,5050.0,3.928,29615.0,10.0,27.0,47.0,47.0,206.0,,
165,5667c747eb4b140fe963ba77,2,10100,5050.0,3.987,59234.0,7.5,46.0,46.0,45.5,398.0,,
166,5b24b6bdd1c3601ba899f0c0,1,10000,10000.0,3.795,6158.0,12.0,11.0,-9.0,-9.0,1276.0,1.0,100.0
167,5d4b891183889735374d3c88,1,10000,10000.0,3.795,1260.0,8.0,56.0,86.0,86.0,1285.0,,
168,582872761004352e57ee38a1,1,10000,10000.0,3.849,3972.0,9.0,14.0,36.0,36.0,644.0,,
169,5b14bc7ddaac4575492a01c5,1,10000,10000.0,3.872,12371.0,11.0,20.0,45.0,45.0,2841.0,1.0,100.0
170,59a2e74a8696be0eeb7a7ba9,1,10000,10000.0,3.897,8563.0,8.0,7.0,-14.0,-14.0,1467.0,1.0,100.0
171,5d3d59c772b0c92f4d1ea32d,1,10000,10000.0,3.907,1702.0,7.0,16.0,57.0,57.0,1792.0,,
172,582d5286168b54404ec5ecf2,1,10000,10000.0,3.941,5466.0,13.0,14.0,8.0,8.0,1938.0,,
173,591ed674fc9cce0fcd7ff354,1,10000,10000.0,3.952,2366.0,5.9,5.0,-18.0,-18.0,1933.0,,
174,5b8beef49996c87b299cdbec,1,10000,10000.0,3.958,6302.0,11.0,10.0,-10.0,-10.0,2058.0,,
175,5833f721e18c0f15d659a8ed,1,10000,10000.0,3.961,4019.0,8.0,7.0,-14.0,-14.0,1087.0,1.0,100.0
176,5b629265299c7e3db17cf86d,1,10000,10000.0,3.975,19735.0,5.77,5.0,-15.0,-15.0,2892.0,,
177,58579043e950f24d94f612dc,1,10000,10000.0,3.976,33148.0,8.0,13.0,39.0,39.0,2753.0,,
178,57e90050b97437131f78c7d7,1,10000,10000.0,3.982,3549.0,5.78,26.0,78.0,78.0,1426.0,,
179,584a9e7421390e4cb68dec18,1,10000,10000.0,3.982,6818.0,8.0,7.0,-14.0,-14.0,1649.0,,
180,5620c3b23a698c4bc7d17e8c,1,10000,10000.0,3.985,19521.0,12.0,11.0,-9.0,-9.0,3560.0,1.0,100.0
181,58061170aa46c6195c12950b,1,10000,10000.0,3.988,1987.0,8.0,9.0,12.0,12.0,1316.0,,
182,5847df29728de666ef5b853b,1,10000,10000.0,3.995,19879.0,8.0,8.0,0.0,0.0,1858.0,,
183,56669d89eb4b14361d45090f,1,10000,10000.0,4.018,23465.0,5.65,25.0,78.0,78.0,418.0,,
184,58da4490933abf52ad547200,1,10000,10000.0,4.025,23485.0,8.0,118.0,94.0,94.0,2519.0,,
185,578ed3e53a698c2b54ac93f4,1,10000,10000.0,4.026,14284.0,11.0,10.0,-10.0,-10.0,2102.0,,
186,55cc3e5f845591103477a2f8,1,10000,10000.0,4.033,55089.0,6.0,9.0,34.0,34.0,2211.0,,
187,570ceafac277d445e3cbebe5,1,10000,10000.0,4.053,7356.0,8.0,7.0,-14.0,-14.0,1312.0,1.0,100.0
188,5b6bb9c8dd0d902d18928318,1,10000,10000.0,4.054,7544.0,5.68,7.0,19.0,19.0,1232.0,,
189,5556c60071e86d19fe7590d4,1,10000,10000.0,4.055,5993.0,6.0,7.0,15.0,15.0,1238.0,1.0,100.0
190,5a9cfdb4ccf0c85918542fdd,1,10000,10000.0,4.066,34311.0,7.0,6.0,-16.0,-16.0,2483.0,,
191,565973368f5f027e14060846,1,10000,10000.0,4.071,27719.0,14.0,75.0,82.0,82.0,2514.0,,
192,5730557ae3daeb5b35ee1f0b,1,10000,10000.0,4.074,10665.0,6.0,8.0,25.0,25.0,1010.0,1.0,100.0
193,573d951ad57895595f6d5854,1,10000,10000.0,4.077,13399.0,8.0,7.0,-14.0,-14.0,2604.0,1.0,100.0
194,567a54fe7071ec7e12a1494e,1,10000,10000.0,4.079,12004.0,9.0,8.0,-12.0,-12.0,3101.0,,
195,5b52ea49b56d05463d973207,1,10000,10000.0,4.085,6651.0,8.0,22.0,64.0,64.0,904.0,1.0,100.0
196,5448701f90c77609a237f99f,1,10000,10000.0,4.088,117487.0,12.0,13.0,8.0,8.0,893.0,,
197,5780c6b2e8aa893157a3286f,1,10000,10000.0,4.101,11264.0,7.0,6.0,-16.0,-16.0,3078.0,,
198,5939085087117919c6f12a77,1,10000,10000.0,4.105,2399.0,1.91,2.0,5.0,5.0,697.0,,
199,58c28c4cae99c651278d7e6e,1,10000,10000.0,4.109,19436.0,11.0,10.0,-10.0,-10.0,1780.0,,
200,591c47e34d43573c91966c72,1,10000,10000.0,4.115,15502.0,11.0,43.0,75.0,75.0,2521.0,,
201,5937930e188f3d1bd209896d,1,10000,10000.0,4.122,9325.0,11.0,12.0,9.0,9.0,666.0,,
202,57fcc26f1c813a50b2a86956,1,10000,10000.0,4.123,31559.0,6.0,142.0,96.0,96.0,1941.0,,
203,5acdb384ccf0c86f34c5d539,1,10000,10000.0,4.125,9938.0,7.0,6.0,-16.0,-16.0,1797.0,,
204,5addba5481260b1ddfffe5a3,1,10000,10000.0,4.145,3977.0,7.0,16.0,57.0,57.0,1116.0,,
205,56c3c5d830d9795c3bad3124,1,10000,10000.0,4.148,14502.0,13.0,11.0,-18.0,-18.0,2901.0,1.0,100.0
206,59b88527b77173631729908e,1,10000,10000.0,4.149,21412.0,4.0,4.0,0.0,0.0,1412.0,1.0,100.0
207,56e6928521790d587623b3b4,1,10000,10000.0,4.151,27055.0,5.0,5.0,0.0,0.0,3208.0,1.0,100.0
208,57973560cb38dd77d126e9f1,1,10000,10000.0,4.152,120781.0,11.0,16.0,32.0,32.0,1586.0,,
209,5acc6cc0c3911a32ad141f60,1,10000,10000.0,4.162,8727.0,7.0,9.0,23.0,23.0,1838.0,1.0,100.0
210,5961d4e6905fdb5a6f505cd3,1,10000,10000.0,4.181,11148.0,8.0,7.0,-14.0,-14.0,1473.0,,
211,59dc769133a48743534ac5c7,1,10000,10000.0,4.181,2975.0,11.0,11.0,0.0,0.0,1520.0,,
212,586dff6c16e4106b5e5feb58,1,10000,10000.0,4.183,28159.0,6.0,76.0,93.0,93.0,1741.0,,
213,5ae5c3cb4215954239aff8b9,1,10000,10000.0,4.188,2359.0,6.0,10.0,40.0,40.0,1496.0,1.0,100.0
214,57d904168172661fe3b3256a,1,10000,10000.0,4.192,2888.0,9.0,59.0,85.0,85.0,1721.0,,
215,58ffff331a1cef16a78c78f4,1,10000,10000.0,4.203,22173.0,13.0,84.0,85.0,85.0,2328.0,1.0,100.0
216,598040ea0ec30f7f43a3cc35,1,10000,10000.0,4.209,4295.0,9.0,8.0,-12.0,-12.0,3024.0,1.0,100.0
